epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.59453,1.29203,3.69028,1.41174,0.00492,0.55567,0.05751,0.02347,1.2081,3.70803,1.4096,6.25e-05,6.25e-05,6.25e-05
2,8.54922,1.18658,3.61739,1.33917,0.00741,0.59464,0.13805,0.07236,1.11081,3.62062,1.31079,0.000137228,0.000137228,0.000137228
3,11.4538,1.1174,3.1497,1.30692,0.0091,0.56143,0.19832,0.09202,1.16533,3.56588,1.32665,0.000211659,0.000211659,0.000211659
4,14.3655,1.11636,2.82561,1.29399,0.00998,0.58586,0.18476,0.09837,1.14914,3.46779,1.30506,0.000285792,0.000285792,0.000285792
5,17.6898,1.20322,2.62419,1.3009,0.01007,0.64103,0.21928,0.12818,1.20764,3.3858,1.39636,0.000359629,0.000359629,0.000359629
6,20.6081,1.14875,2.28817,1.30177,0.0109,0.65773,0.23965,0.14485,1.23065,3.28869,1.40533,0.000433169,0.000433169,0.000433169
7,23.5603,1.04221,2.15273,1.25447,0.71987,0.16071,0.27031,0.1622,1.34296,3.16185,1.47536,0.000506411,0.000506411,0.000506411
8,26.5439,1.14162,2.09383,1.26875,0.62193,0.15326,0.24621,0.14564,1.42609,3.16003,1.55607,0.000579357,0.000579357,0.000579357
9,29.2853,1.16197,2.10797,1.33867,0.62581,0.13837,0.27335,0.1696,1.33461,3.05391,1.47306,0.000652006,0.000652006,0.000652006
10,32.1999,1.11511,2.02644,1.27434,0.31425,0.21742,0.23736,0.15691,1.35178,2.86582,1.53118,0.000724358,0.000724358,0.000724358
11,34.8273,1.14806,1.95111,1.27877,0.38031,0.2723,0.2601,0.16088,1.42183,2.89862,1.58745,0.000796412,0.000796412,0.000796412
12,37.4153,1.1228,2.03098,1.30536,0.94087,0.13158,0.24267,0.15718,1.44128,3.02903,1.66823,0.00086817,0.00086817,0.00086817
13,40.0416,1.12956,1.8577,1.2502,0.81376,0.20536,0.31257,0.16675,1.48858,3.11686,1.70116,0.000939631,0.000939631,0.000939631
14,42.7528,1.14516,1.91105,1.26966,0.35369,0.25423,0.29889,0.16068,1.53353,2.96529,1.68776,0.00101079,0.00101079,0.00101079
15,45.5392,1.11724,1.91535,1.24432,0.40541,0.25647,0.28015,0.14882,1.55897,2.92616,1.69477,0.00108166,0.00108166,0.00108166
16,48.2591,1.1368,1.88777,1.27721,0.34692,0.37067,0.28588,0.14548,1.57419,2.87513,1.77229,0.00115223,0.00115223,0.00115223
17,50.9939,1.08346,1.71137,1.23812,0.55314,0.23659,0.28952,0.16924,1.50428,2.81647,1.68847,0.0012104,0.0012104,0.0012104
18,53.668,1.06843,1.79886,1.25873,0.25795,0.35705,0.24369,0.1243,1.53886,2.78537,1.80406,0.00120793,0.00120793,0.00120793
19,56.4598,1.11813,1.86209,1.25995,0.32085,0.28834,0.23145,0.11158,1.62188,2.79493,1.82995,0.00120545,0.00120545,0.00120545
20,59.1993,1.15323,1.72973,1.2501,0.24379,0.2882,0.24257,0.10274,1.63998,2.77209,1.79865,0.00120298,0.00120298,0.00120298
21,61.8906,1.14918,1.73979,1.2461,0.24091,0.21883,0.21249,0.09388,1.72323,2.70778,1.90591,0.0012005,0.0012005,0.0012005
22,64.6917,1.08477,1.69066,1.21617,0.19613,0.34646,0.23064,0.1105,1.77505,2.66209,1.94734,0.00119802,0.00119802,0.00119802
23,67.406,1.05801,1.72085,1.18842,0.28516,0.26359,0.26087,0.12715,1.75714,2.56751,1.84888,0.00119555,0.00119555,0.00119555
24,70.1019,0.98058,1.57896,1.16246,0.31367,0.24219,0.26953,0.11945,1.72772,2.98399,1.80885,0.00119308,0.00119308,0.00119308
25,72.769,1.06786,1.75295,1.253,0.31521,0.28094,0.28709,0.13442,1.71815,3.08944,1.83817,0.0011906,0.0011906,0.0011906
26,75.4631,1.07524,1.61513,1.19859,0.32529,0.27815,0.25479,0.10248,1.7062,3.1005,1.79485,0.00118812,0.00118812,0.00118812
27,78.0758,1.07092,1.58586,1.23943,0.33617,0.3652,0.28773,0.15229,1.64471,2.91001,1.71528,0.00118565,0.00118565,0.00118565
28,80.7115,0.97648,1.4893,1.15847,0.33721,0.34176,0.29858,0.15642,1.76518,2.8677,1.8896,0.00118317,0.00118317,0.00118317
29,83.4069,1.05129,1.62401,1.19358,0.36498,0.2205,0.26498,0.12721,1.77961,3.39876,1.95968,0.0011807,0.0011807,0.0011807
30,86.0417,0.99216,1.62924,1.15348,0.26696,0.34206,0.22372,0.10725,1.69188,3.67586,1.8622,0.00117822,0.00117822,0.00117822
31,88.6548,0.99617,1.41454,1.15222,0.30279,0.30833,0.26208,0.13489,1.69334,3.16947,1.81453,0.00117575,0.00117575,0.00117575
32,91.2974,1.12074,1.4819,1.2219,0.23856,0.33815,0.25922,0.14159,1.5747,2.86996,1.69196,0.00117327,0.00117327,0.00117327
33,93.9122,1.03089,1.53911,1.21551,0.3801,0.19853,0.23551,0.14724,1.55491,2.92481,1.6446,0.0011708,0.0011708,0.0011708
34,96.5405,0.95182,1.35247,1.11566,0.25283,0.35087,0.28919,0.1745,1.53702,2.76048,1.68277,0.00116833,0.00116833,0.00116833
35,99.339,1.10844,1.73663,1.2373,0.2706,0.38724,0.30227,0.17262,1.56645,2.76672,1.70137,0.00116585,0.00116585,0.00116585
36,101.987,1.0904,2.0145,1.32096,0.32777,0.38536,0.33951,0.19177,1.56891,2.62938,1.71275,0.00116337,0.00116337,0.00116337
37,104.721,0.97903,1.49216,1.13169,0.34295,0.3155,0.34822,0.19636,1.56348,2.58953,1.74741,0.0011609,0.0011609,0.0011609
38,107.488,1.00094,1.56616,1.1679,0.46923,0.24302,0.30082,0.16744,1.58358,2.80804,1.78363,0.00115843,0.00115843,0.00115843
39,110.111,0.94581,1.40178,1.15629,0.3784,0.27027,0.30381,0.15957,1.58072,2.90313,1.84245,0.00115595,0.00115595,0.00115595
40,112.768,1.01635,1.39935,1.15721,0.34664,0.3819,0.35963,0.20185,1.53451,2.7618,1.71648,0.00115348,0.00115348,0.00115348
41,115.743,0.97616,1.29609,1.14525,0.34767,0.42258,0.37904,0.20146,1.55415,2.72762,1.71561,0.001151,0.001151,0.001151
42,118.402,0.94272,1.27865,1.13371,0.33903,0.47326,0.36271,0.18525,1.56138,2.65351,1.72498,0.00114853,0.00114853,0.00114853
43,121.04,0.97715,1.2839,1.15443,0.26777,0.48572,0.33687,0.15104,1.62356,2.64577,1.82726,0.00114605,0.00114605,0.00114605
44,123.786,0.98929,1.37375,1.19425,0.37284,0.32129,0.34971,0.17902,1.60201,2.40411,1.75451,0.00114357,0.00114357,0.00114357
45,126.424,0.9468,1.30584,1.13098,0.45024,0.41104,0.37279,0.20263,1.60358,2.39912,1.76147,0.0011411,0.0011411,0.0011411
46,129.2,0.95467,1.26321,1.12113,0.38894,0.44049,0.37835,0.20117,1.5489,2.51678,1.7322,0.00113863,0.00113863,0.00113863
47,131.853,0.86166,1.23757,1.09927,0.32934,0.48059,0.34038,0.19584,1.56661,2.46181,1.72945,0.00113615,0.00113615,0.00113615
48,134.507,0.97538,1.36079,1.12499,0.35427,0.36011,0.33103,0.19188,1.6445,2.31061,1.79535,0.00113368,0.00113368,0.00113368
49,137.158,0.92789,1.29617,1.12894,0.4036,0.36465,0.37246,0.18702,1.61895,2.35527,1.81637,0.0011312,0.0011312,0.0011312
50,139.835,0.93871,1.27871,1.15245,0.37361,0.39125,0.34095,0.18572,1.69269,2.38515,1.87654,0.00112873,0.00112873,0.00112873
51,142.469,0.87614,1.25268,1.12146,0.29203,0.4169,0.34441,0.1956,1.6781,2.38956,1.83664,0.00112625,0.00112625,0.00112625
52,145.122,0.92211,1.18911,1.09662,0.38235,0.2889,0.36002,0.20883,1.64826,2.34785,1.78744,0.00112378,0.00112378,0.00112378
53,147.853,0.92796,1.40055,1.11808,0.43894,0.3453,0.39109,0.22292,1.58541,2.28156,1.72812,0.0011213,0.0011213,0.0011213
54,150.623,0.93791,1.20854,1.12419,0.56738,0.30279,0.40361,0.23737,1.5597,2.31599,1.72093,0.00111882,0.00111882,0.00111882
55,153.342,0.9958,1.28033,1.11971,0.56088,0.36717,0.4147,0.24291,1.5589,2.299,1.70833,0.00111635,0.00111635,0.00111635
56,156.107,0.88422,1.13423,1.07177,0.421,0.40303,0.36,0.20234,1.66755,2.36371,1.74931,0.00111388,0.00111388,0.00111388
57,158.745,1.02708,1.44699,1.31795,0.40404,0.39545,0.35532,0.20243,1.60828,2.32032,1.69436,0.0011114,0.0011114,0.0011114
58,161.56,0.9222,1.25426,1.14224,0.51889,0.4003,0.43507,0.24562,1.63367,2.28475,1.74088,0.00110892,0.00110892,0.00110892
59,164.666,0.87152,1.13149,1.10478,0.47536,0.45392,0.42607,0.24075,1.57175,2.28626,1.69599,0.00110645,0.00110645,0.00110645
60,167.407,0.93054,1.22209,1.19085,0.49043,0.40566,0.40266,0.22525,1.54423,2.21779,1.64295,0.00110397,0.00110397,0.00110397
61,170.216,0.90269,1.1371,1.07513,0.46572,0.47311,0.42206,0.24022,1.52526,2.12549,1.64384,0.0011015,0.0011015,0.0011015
62,172.981,0.88781,1.14874,1.07565,0.45851,0.41853,0.4051,0.24036,1.5452,2.15621,1.69872,0.00109903,0.00109903,0.00109903
63,175.721,0.96651,1.20366,1.16668,0.52256,0.39722,0.4077,0.24322,1.50724,2.17132,1.7058,0.00109655,0.00109655,0.00109655
64,178.376,0.89699,1.02993,1.08559,0.58206,0.26066,0.34696,0.21178,1.49589,2.67133,1.68004,0.00109408,0.00109408,0.00109408
65,181.129,0.84611,1.0477,1.09097,0.53566,0.25516,0.32993,0.20253,1.49151,2.79143,1.66005,0.0010916,0.0010916,0.0010916
66,183.801,0.84336,1.04605,1.06188,0.59668,0.27991,0.38512,0.21921,1.52802,2.55163,1.71677,0.00108913,0.00108913,0.00108913
67,186.435,0.8627,1.05516,1.05876,0.47964,0.36487,0.39067,0.22593,1.49937,2.46969,1.69222,0.00108665,0.00108665,0.00108665
68,189.104,0.87364,1.06868,1.06988,0.60625,0.30314,0.40198,0.22949,1.53553,2.34372,1.69537,0.00108417,0.00108417,0.00108417
69,191.734,0.92591,1.09991,1.10757,0.48903,0.36767,0.38318,0.23304,1.49666,2.32941,1.67111,0.0010817,0.0010817,0.0010817
70,194.375,0.89826,1.01864,1.09691,0.36044,0.42495,0.40582,0.24108,1.52057,2.29315,1.68498,0.00107923,0.00107923,0.00107923
71,197.145,0.87645,0.9559,1.05854,0.45364,0.3963,0.42711,0.24043,1.48701,2.30877,1.6617,0.00107675,0.00107675,0.00107675
72,199.854,0.83146,1.26067,1.10031,0.46025,0.40792,0.40375,0.24846,1.48918,2.42536,1.65883,0.00107427,0.00107427,0.00107427
73,202.539,0.80724,1.02114,1.01425,0.42028,0.4412,0.41127,0.25042,1.48066,2.50807,1.65247,0.0010718,0.0010718,0.0010718
74,205.301,0.8574,1.00688,1.09088,0.4148,0.45347,0.45186,0.30094,1.40954,2.14389,1.58923,0.00106933,0.00106933,0.00106933
75,208.178,0.88286,1.13231,1.07387,0.50982,0.44402,0.46593,0.31231,1.36692,1.96753,1.5396,0.00106685,0.00106685,0.00106685
76,210.937,0.80812,1.00076,1.08146,0.46343,0.43721,0.44403,0.30518,1.3675,1.93406,1.55575,0.00106437,0.00106437,0.00106437
77,213.557,0.84467,0.99476,1.08077,0.44498,0.44307,0.43878,0.28724,1.40527,2.04163,1.577,0.0010619,0.0010619,0.0010619
78,216.313,0.84526,0.9735,1.06169,0.38158,0.4567,0.39404,0.25317,1.45835,2.19009,1.67123,0.00105942,0.00105942,0.00105942
79,218.958,0.845,0.98122,1.05765,0.35195,0.49277,0.39821,0.25748,1.47872,2.12724,1.64956,0.00105695,0.00105695,0.00105695
80,221.587,0.84305,1.06756,1.06296,0.41942,0.50359,0.43309,0.26497,1.45097,2.06929,1.59419,0.00105448,0.00105448,0.00105448
