epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.82287,1.23131,3.67765,1.36351,0.00524,0.53975,0.09792,0.04477,1.16802,3.67291,1.37426,6.25e-05,6.25e-05,6.25e-05
2,9.87346,1.1925,3.59746,1.34427,0.00677,0.58038,0.15297,0.09473,1.14648,3.60857,1.34493,0.000137046,0.000137046,0.000137046
3,12.8212,1.08256,3.11614,1.26509,0.00798,0.60121,0.22976,0.12895,1.13383,3.53168,1.31547,0.000211098,0.000211098,0.000211098
4,15.5419,1.09383,2.69089,1.26089,0.00898,0.58994,0.22519,0.13007,1.16392,3.46436,1.3457,0.000284654,0.000284654,0.000284654
5,18.5205,1.16891,2.49196,1.24785,0.00939,0.59953,0.25286,0.1456,1.18796,3.36419,1.45266,0.000357715,0.000357715,0.000357715
6,21.3907,1.05755,2.15438,1.21367,0.67755,0.20594,0.22237,0.134,1.24869,3.27486,1.48606,0.000430281,0.000430281,0.000430281
7,24.0257,1.01913,2.02132,1.21462,0.73172,0.1843,0.27815,0.17909,1.25038,3.11898,1.46596,0.000502353,0.000502353,0.000502353
8,26.746,1.07719,2.04476,1.24363,0.73981,0.16071,0.29573,0.198,1.26656,3.04928,1.45822,0.000573929,0.000573929,0.000573929
9,29.4699,1.18818,2.09201,1.35259,0.73714,0.23634,0.3432,0.21199,1.31328,2.96511,1.4626,0.00064501,0.00064501,0.00064501
10,32.0572,1.12903,2.0281,1.26256,0.29683,0.23222,0.30701,0.17347,1.29033,2.85588,1.44605,0.000715596,0.000715596,0.000715596
11,34.6477,1.12461,1.86413,1.2275,0.5754,0.22217,0.29854,0.1403,1.38981,2.83753,1.53921,0.000785687,0.000785687,0.000785687
12,37.2601,1.05082,1.96572,1.24474,0.41488,0.23894,0.26798,0.13792,1.50591,2.84325,1.70127,0.000855284,0.000855284,0.000855284
13,39.8606,1.06667,1.82822,1.22769,0.67104,0.29966,0.32433,0.18298,1.49222,2.81396,1.63677,0.000924385,0.000924385,0.000924385
14,42.4492,1.06562,1.79055,1.22376,0.72049,0.27868,0.31163,0.16846,1.60103,2.89919,1.80554,0.000992991,0.000992991,0.000992991
15,45.04,1.01402,1.77373,1.2039,0.53711,0.34665,0.32572,0.18785,1.54515,2.80938,1.73147,0.0010611,0.0010611,0.0010611
16,47.6543,1.0474,1.74471,1.2275,0.66023,0.31817,0.3307,0.18861,1.48624,2.65973,1.67565,0.00112872,0.00112872,0.00112872
17,50.24,1.00165,1.65593,1.20686,0.69248,0.3052,0.34624,0.20202,1.47582,2.61219,1.70695,0.001184,0.001184,0.001184
18,52.8398,1.00916,1.71621,1.2256,0.49878,0.34786,0.34494,0.21017,1.50739,2.57129,1.77065,0.00117988,0.00117988,0.00117988
19,55.4376,1.03838,1.78234,1.1852,0.50583,0.4061,0.37451,0.22681,1.48269,2.60616,1.73549,0.00117575,0.00117575,0.00117575
20,58.1782,1.0681,1.64525,1.2085,0.46,0.4406,0.38804,0.21034,1.64624,2.66144,1.84834,0.00117163,0.00117163,0.00117163
21,60.7739,1.05531,1.62574,1.18706,0.51707,0.3618,0.39369,0.1999,1.66862,2.5115,1.86441,0.0011675,0.0011675,0.0011675
22,63.3768,1.02488,1.59277,1.16136,0.46147,0.3666,0.39811,0.22334,1.5697,2.33166,1.75964,0.00116337,0.00116337,0.00116337
23,65.9825,1.03793,1.51525,1.18037,0.5026,0.39689,0.39539,0.21307,1.61289,2.39616,1.76953,0.00115925,0.00115925,0.00115925
24,68.5842,0.97518,1.51773,1.15845,0.43343,0.33465,0.33729,0.1576,1.62316,2.60757,1.81655,0.00115513,0.00115513,0.00115513
25,71.1577,1.04484,1.57814,1.22535,0.33228,0.329,0.28396,0.15094,1.63138,2.71349,1.78729,0.001151,0.001151,0.001151
26,73.7739,0.977,1.54948,1.15203,0.47697,0.23739,0.30531,0.1707,1.6401,2.60209,1.83389,0.00114688,0.00114688,0.00114688
27,76.484,0.93774,1.50739,1.15618,0.50002,0.32621,0.34278,0.19277,1.59808,2.38906,1.78906,0.00114275,0.00114275,0.00114275
28,79.1154,0.89719,1.36643,1.08357,0.42208,0.23981,0.28736,0.18074,1.59087,2.56163,1.71004,0.00113863,0.00113863,0.00113863
29,81.7196,0.94775,1.42645,1.11196,0.35517,0.28853,0.27523,0.17206,1.59156,2.60523,1.69856,0.0011345,0.0011345,0.0011345
30,84.348,0.94116,1.5605,1.12121,0.30781,0.33586,0.30045,0.18201,1.63272,2.49917,1.77484,0.00113038,0.00113038,0.00113038
31,86.9801,0.93769,1.30373,1.10099,0.409,0.26742,0.29378,0.18159,1.54848,2.43187,1.68939,0.00112625,0.00112625,0.00112625
32,89.6042,0.99873,1.35578,1.15213,0.37861,0.22661,0.29745,0.19808,1.50144,2.42942,1.67648,0.00112213,0.00112213,0.00112213
33,92.2306,0.92724,1.4651,1.15112,0.32996,0.25774,0.31043,0.19972,1.58537,2.49531,1.70559,0.001118,0.001118,0.001118
34,94.8718,0.942,1.27841,1.10239,0.3097,0.25184,0.27407,0.17167,1.65105,2.54078,1.73819,0.00111388,0.00111388,0.00111388
35,97.523,1.02759,1.5054,1.1677,0.26238,0.3156,0.2717,0.1711,1.64046,2.53068,1.7177,0.00110975,0.00110975,0.00110975
36,100.184,1.04084,1.71341,1.26345,0.39252,0.25472,0.29275,0.16206,1.71905,2.68324,1.78335,0.00110563,0.00110563,0.00110563
37,102.975,0.85867,1.31106,1.06104,0.29769,0.28928,0.2925,0.15462,1.78653,2.75901,1.83154,0.0011015,0.0011015,0.0011015
38,105.645,0.92374,1.48201,1.10256,0.31787,0.28624,0.30225,0.14753,1.74421,2.82885,1.85496,0.00109738,0.00109738,0.00109738
39,108.344,0.88093,1.26114,1.13335,0.27998,0.30227,0.29645,0.15237,1.70432,2.863,1.83513,0.00109325,0.00109325,0.00109325
40,111.025,0.88505,1.25004,1.07764,0.30073,0.38235,0.32577,0.21021,1.60911,2.65427,1.79237,0.00108913,0.00108913,0.00108913
41,113.674,0.87904,1.23884,1.07115,0.39339,0.3771,0.35867,0.20872,1.58061,2.71557,1.7445,0.001085,0.001085,0.001085
42,116.43,0.92625,1.16969,1.1512,0.39456,0.41819,0.38441,0.24608,1.50462,2.4371,1.74995,0.00108088,0.00108088,0.00108088
43,119.235,0.83904,1.12277,1.0627,0.43321,0.32587,0.36128,0.24987,1.45563,2.44934,1.72759,0.00107675,0.00107675,0.00107675
44,122.051,0.89499,1.22291,1.09144,0.33319,0.35202,0.36209,0.23823,1.39353,2.43047,1.62862,0.00107263,0.00107263,0.00107263
45,124.748,0.8305,1.25099,1.08369,0.39932,0.37747,0.359,0.23147,1.45111,2.38,1.62156,0.0010685,0.0010685,0.0010685
46,127.399,0.90515,1.12703,1.11635,0.34333,0.34925,0.33846,0.22736,1.4247,2.2361,1.5873,0.00106437,0.00106437,0.00106437
47,130.136,0.80384,1.13563,1.06138,0.32798,0.39886,0.35138,0.22652,1.45006,2.25102,1.62371,0.00106025,0.00106025,0.00106025
48,132.792,0.84447,1.2428,1.08352,0.31161,0.40637,0.35429,0.23189,1.49928,2.33988,1.70163,0.00105612,0.00105612,0.00105612
49,135.612,0.82535,1.20147,1.09717,0.43238,0.27474,0.34217,0.21862,1.54002,2.33359,1.7235,0.001052,0.001052,0.001052
50,138.387,0.85079,1.20265,1.10265,0.33973,0.33539,0.30507,0.18487,1.62934,2.39289,1.82103,0.00104787,0.00104787,0.00104787
51,141.151,0.76931,1.10808,1.06995,0.24537,0.3612,0.26485,0.15346,1.67469,2.56014,1.88929,0.00104375,0.00104375,0.00104375
52,143.913,0.82235,1.11741,1.04726,0.27505,0.36778,0.26599,0.14479,1.66524,2.57419,1.85226,0.00103962,0.00103962,0.00103962
53,146.728,0.8153,1.23435,1.07446,0.64489,0.27479,0.30531,0.15999,1.66897,2.43505,1.87752,0.0010355,0.0010355,0.0010355
54,149.511,0.83673,1.07394,1.06789,0.44626,0.37057,0.34601,0.20434,1.63469,2.38094,1.81254,0.00103138,0.00103138,0.00103138
55,152.204,0.86223,1.16184,1.0589,0.42999,0.33518,0.35483,0.19902,1.55384,2.33781,1.71946,0.00102725,0.00102725,0.00102725
56,155.275,0.82708,1.05183,1.05092,0.33862,0.36809,0.3508,0.21986,1.48916,2.38829,1.63549,0.00102312,0.00102312,0.00102312
57,157.985,0.94372,1.45368,1.22216,0.49431,0.33226,0.37048,0.23136,1.46354,2.28612,1.63138,0.001019,0.001019,0.001019
58,160.652,0.84698,1.20511,1.0807,0.43652,0.32556,0.39134,0.23835,1.53274,2.22605,1.6609,0.00101488,0.00101488,0.00101488
59,163.29,0.79871,1.01738,1.05059,0.3202,0.46817,0.37671,0.24292,1.49143,2.14898,1.6232,0.00101075,0.00101075,0.00101075
60,165.927,0.77057,1.11172,1.06487,0.61993,0.31005,0.40246,0.2445,1.60131,2.14492,1.74829,0.00100663,0.00100663,0.00100663
61,168.579,0.83674,1.02454,1.0589,0.44847,0.45817,0.44182,0.24443,1.57331,1.96586,1.75026,0.0010025,0.0010025,0.0010025
62,171.229,0.82335,1.04332,1.03266,0.43858,0.36064,0.39147,0.24693,1.54373,2.23083,1.79398,0.000998375,0.000998375,0.000998375
63,173.942,0.90174,1.14911,1.12536,0.49046,0.36174,0.39113,0.24709,1.47221,2.39342,1.70303,0.00099425,0.00099425,0.00099425
